no;nearc2;nearc4;educ;age;fatheduc;motheduc;weight;momdad14;sinmom14;step14;reg661;reg662;reg663;reg664;reg665;reg666;reg667;reg668;reg669;south66;black;smsa;south;smsa66;wage;enroll;KWW;IQ;married;libcrd14;exper;lwage;expersq
1;0;0;7;29;NA;NA;158413;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;548;0;15;NA;1;0;16;6.3062749;256
2;0;0;12;27;8;8;380166;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;481;0;35;93;1;1;9;6.1758671;81
3;0;0;12;34;14;12;367470;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;721;0;42;103;1;1;16;6.5806389;256
4;1;1;11;27;11;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;250;0;25;88;1;1;10;5.521461;100
5;1;1;12;34;8;7;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;729;0;34;108;1;0;16;6.5916739;256
6;1;1;12;26;9;12;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;500;0;38;85;1;1;8;6.2146082;64
7;1;1;18;33;14;14;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;565;0;41;119;1;1;9;6.3368258;81
8;1;1;14;29;14;14;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;608;0;46;108;1;1;9;6.4101748;81
9;1;1;12;28;12;12;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;425;0;32;96;4;0;10;6.0520892;100
10;1;1;12;29;12;12;480445;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;515;0;34;97;1;1;11;6.2441669;121
11;1;1;9;28;11;12;380166;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;225;0;29;84;1;0;13;5.416101;169
12;1;1;12;26;11;6;380166;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;400;0;34;89;1;1;8;5.9914651;64
13;1;1;11;24;11;6;369567;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;417;0;22;93;1;1;7;6.0330858;49
14;1;1;11;30;11;6;496635;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;217;0;27;74;1;0;13;5.3798971;169
15;1;1;16;31;NA;8;648053;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1;894;0;43;116;1;1;9;6.7957058;81
16;1;1;14;24;15;12;357519;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;300;0;36;NA;6;1;4;5.703783;16
17;1;1;12;34;12;8;367470;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;346;0;40;93;1;1;16;5.8464389;256
18;1;1;14;29;NA;12;496635;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;658;0;35;100;1;1;9;6.4892049;81
19;1;1;10;26;8;8;367772;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;575;0;24;91;6;0;10;6.3543701;100
